,Title,Year,Link,Genres,Rating,ID,UUID
1,Dragon Ball Super: Super Hero,(2022),https://www.imdb.com/title/tt14614892/?ref_=kw_li_tt,"Animation, Action, Adventure",7.3,1461489,7307e7a5-2394-4d85-a5e3-bd1411ae3a04
2,Attack on Titan,(2013–2023),https://www.imdb.com/title/tt2560140/?ref_=kw_li_tt,"Animation, Action, Adventure",9.0,2560140,abbba470-3ac5-4bb2-9432-1abe7e809a04
3,One Piece,(1999– ),https://www.imdb.com/title/tt0388629/?ref_=kw_li_tt,"Animation, Action, Adventure",8.9,0388629,a2166f78-0b45-4909-bd4c-27f1117ced48
4,Tekken: Bloodline,(2022– ),https://www.imdb.com/title/tt19875850/?ref_=kw_li_tt,"Animation, Action, Adventure",6.9,1987585,78b14207-22f8-4344-a983-06e386dd2b70
5,Dota: Dragon's Blood,(2021– ),https://www.imdb.com/title/tt14069590/?ref_=kw_li_tt,"Animation, Action, Adventure",7.8,1406959,6526e76c-153b-4e59-9d02-c489c01bbb7e
6,Demon Slayer: Kimetsu no Yaiba,(2019– ),https://www.imdb.com/title/tt9335498/?ref_=kw_li_tt,"Animation, Action, Adventure",8.7,9335498,9487dc53-2a3d-460e-a61f-a61e7800afdb
7,One Piece Film: Red,(2022),https://www.imdb.com/title/tt16183464/?ref_=kw_li_tt,"Animation, Adventure, Fantasy",7.4,1618346,01c20088-0a5f-4ccc-9ea7-00135d81edda
8,Naruto: Shippuden,(2007–2017),https://www.imdb.com/title/tt0988824/?ref_=kw_li_tt,"Animation, Action, Adventure",8.7,0988824,7633de5b-5301-4292-9d2a-ef42a9d164a9
9,Naruto,(2002–2007),https://www.imdb.com/title/tt0409591/?ref_=kw_li_tt,"Animation, Action, Adventure",8.4,0409591,3564855d-213d-4c73-be1f-bcd6d4055695
10,Dragon Ball Z,(1989–1996),https://www.imdb.com/title/tt0214341/?ref_=kw_li_tt,"Animation, Action, Adventure",8.8,0214341,add4e832-5c4c-4955-b086-31de98c123eb
11,Hunter x Hunter,(2011–2014),https://www.imdb.com/title/tt2098220/?ref_=kw_li_tt,"Animation, Action, Adventure",9.0,2098220,0ab6fab3-7c20-4eae-8223-a5a91e3cdf7f
12,Spirited Away,(2001),https://www.imdb.com/title/tt0245429/?ref_=kw_li_tt,"Animation, Adventure, Family",8.6,0245429,d49cb214-b220-4595-b903-662fe3b5cc00
13,My Hero Academia,(2016– ),https://www.imdb.com/title/tt5626028/?ref_=kw_li_tt,"Animation, Action, Adventure",8.4,5626028,9db73d0c-e75c-4f0c-b96e-9e62c1570b25
14,SPY×FAMILY,(2022– ),https://www.imdb.com/title/tt13706018/?ref_=kw_li_tt,"Animation, Action, Comedy",8.6,1370601,699d54f6-5b40-46ba-8a7b-07356ceddba1
15,Death Note,(2006–2007),https://www.imdb.com/title/tt0877057/?ref_=kw_li_tt,"Animation, Crime, Drama",9.0,0877057,302e727c-d660-41b9-a283-63e3c8af651a
16,Fullmetal Alchemist: Brotherhood,(2009–2010),https://www.imdb.com/title/tt1355642/?ref_=kw_li_tt,"Animation, Action, Adventure",9.1,1355642,3caed0ed-34c7-4a0c-bc90-d563549c41a8
17,Vinland Saga,(2019– ),https://www.imdb.com/title/tt10233448/?ref_=kw_li_tt,"Animation, Action, Adventure",8.8,1023344,d932b30d-0239-467a-9527-f661fd9862ef
18,Jujutsu Kaisen,(2020– ),https://www.imdb.com/title/tt12343534/?ref_=kw_li_tt,"Animation, Action, Adventure",8.6,1234353,53f587b3-1a35-4ee7-9d21-0124c12b4b13
19,One Punch Man: Wanpanman,(2015–2019),https://www.imdb.com/title/tt4508902/?ref_=kw_li_tt,"Animation, Action, Comedy",8.7,4508902,04225745-fd94-42f6-b5e1-306a461bf5d5
20,Howl's Moving Castle,(2004),https://www.imdb.com/title/tt0347149/?ref_=kw_li_tt,"Animation, Adventure, Family",8.2,0347149,296815ae-0c09-4328-804f-f7b602319bbb
21,JoJo's Bizarre Adventure,(2012– ),https://www.imdb.com/title/tt2359704/?ref_=kw_li_tt,"Animation, Action, Adventure",8.4,2359704,223ce1b1-7b33-4902-9fa9-99e19648ab1b
22,Bleach,(2004–2012),https://www.imdb.com/title/tt0434665/?ref_=kw_li_tt,"Animation, Action, Adventure",8.2,0434665,047edf2a-2ea6-4e1c-b9ab-29c579c696ea
23,Your Name.,(2016),https://www.imdb.com/title/tt5311514/?ref_=kw_li_tt,"Animation, Drama, Fantasy",8.4,5311514,9c184e3f-e1d4-4ef5-b3b1-ea144af1532d
24,Belle: The Dragon and the Freckled Princess,(2021),https://www.imdb.com/title/tt13651628/?ref_=kw_li_tt,"Animation, Adventure, Drama",7.1,1365162,fd7247dd-f6d4-441d-bd20-d18ff2522f56
25,Black Clover,(2017–2021),https://www.imdb.com/title/tt7441658/?ref_=kw_li_tt,"Animation, Action, Adventure",8.3,7441658,8021618c-81c7-4ee4-880e-146393c650be
26,Dragon Ball Super,(2015–2018),https://www.imdb.com/title/tt4644488/?ref_=kw_li_tt,"Animation, Action, Adventure",8.3,4644488,e5d91259-9657-42d4-a61d-a74320447291
27,High School DxD,(2012–2018),https://www.imdb.com/title/tt2230051/?ref_=kw_li_tt,"Animation, Action, Comedy",7.6,2230051,6fd2dd79-ac23-4290-8bda-5a7e5f8628ae
28,Boruto: Naruto Next Generations,(2017– ),https://www.imdb.com/title/tt6342474/?ref_=kw_li_tt,"Animation, Action, Adventure",6.8,6342474,0a8f9b20-c9a4-41d5-9ae2-dbb28edda52c
29,Dragon Ball,(1986–1989),https://www.imdb.com/title/tt0088509/?ref_=kw_li_tt,"Animation, Action, Adventure",8.6,0088509,4b8b8d60-ea3c-4826-a5fb-ca094cbb0873
30,Cowboy Bebop,(1998–1999),https://www.imdb.com/title/tt0213338/?ref_=kw_li_tt,"Animation, Action, Adventure",8.9,0213338,e06533c8-7bb4-47e1-9005-5b9af9cf9f6e
31,Grave of the Fireflies,(1988),https://www.imdb.com/title/tt0095327/?ref_=kw_li_tt,"Animation, Drama, War",8.5,0095327,21eff62a-082d-44b0-af3f-9385c3d2fff5
32,Princess Mononoke,(1997),https://www.imdb.com/title/tt0119698/?ref_=kw_li_tt,"Animation, Adventure, Fantasy",8.4,0119698,3bd3ff41-8744-4d04-9287-82adee486d2a
33,Classroom of the Elite,(2017– ),https://www.imdb.com/title/tt7263328/?ref_=kw_li_tt,"Animation, Thriller",7.7,7263328,45c54e25-8c03-4efe-bd1a-fb891ad34906
34,Made in Abyss,(2017– ),https://www.imdb.com/title/tt7222086/?ref_=kw_li_tt,"Animation, Action, Adventure",8.4,7222086,7f46ca26-adb1-430e-adaf-3e6108ac9552
35,Neon Genesis Evangelion,(1995–1996),https://www.imdb.com/title/tt0112159/?ref_=kw_li_tt,"Animation, Action, Drama",8.5,0112159,d1936112-93f8-464e-aadd-3268b6d55cfb
36,Pokémon,(1997– ),https://www.imdb.com/title/tt0168366/?ref_=kw_li_tt,"Animation, Action, Adventure",7.5,0168366,cb9e2bb6-e532-4572-a421-1b121365f89f
37,Super Dragon Ball Heroes,(2018– ),https://www.imdb.com/title/tt8433216/?ref_=kw_li_tt,"Animation, Action, Adventure",6.8,8433216,de833c2c-3bdc-407e-b7bc-732354391e0c
38,Haikyuu!!,(2014– ),https://www.imdb.com/title/tt3398540/?ref_=kw_li_tt,"Animation, Comedy, Drama",8.7,3398540,bba8bd12-e855-41df-adce-c59a75edae12
39,Berserk,(1997–1998),https://www.imdb.com/title/tt0318871/?ref_=kw_li_tt,"Animation, Action, Adventure",8.7,0318871,68d1d011-d44f-48ae-874e-a36b01d00819
40,Overlord,(2015– ),https://www.imdb.com/title/tt4869896/?ref_=kw_li_tt,"Animation, Action, Adventure",7.7,4869896,87bf57a3-1ad7-43f5-8091-3173ae724f4f
41,Gintama,(2005–2018),https://www.imdb.com/title/tt0988818/?ref_=kw_li_tt,"Animation, Action, Comedy",8.7,0988818,71d5dd87-f08b-4f05-9c2e-84505932fdc7
42,Akira,(1988),https://www.imdb.com/title/tt0094625/?ref_=kw_li_tt,"Animation, Action, Drama",8.0,0094625,6213f19e-7a56-425d-a676-2131d9a29dbd
43,Monster,(2004–2005),https://www.imdb.com/title/tt0434706/?ref_=kw_li_tt,"Animation, Crime, Drama",8.7,0434706,6934705e-99b2-491b-b3ad-e3b397bcf757
44,Kaguya-sama: Love Is War,(2019– ),https://www.imdb.com/title/tt9522300/?ref_=kw_li_tt,"Animation, Comedy, Romance",8.6,9522300,750499f3-7667-4d88-a3ac-7bd977abaea4
45,Mob Psycho 100,(2016– ),https://www.imdb.com/title/tt5897304/?ref_=kw_li_tt,"Animation, Action, Comedy",8.6,5897304,7b6e689a-c735-4425-bd82-16b3343f118b
46,Code Geass: Lelouch of the Rebellion,(2006–2008),https://www.imdb.com/title/tt0994314/?ref_=kw_li_tt,"Animation, Action, Drama",8.7,0994314,e025b343-a30a-42bf-a1e2-fbc5aa735bb2
47,Dragon Ball Super: Broly,(2018),https://www.imdb.com/title/tt7961060/?ref_=kw_li_tt,"Animation, Action, Adventure",7.7,7961060,21b13fb5-b9ab-41bc-a230-d34f0657d21d
48,My Neighbour Totoro,(1988),https://www.imdb.com/title/tt0096283/?ref_=kw_li_tt,"Animation, Comedy, Family",8.1,0096283,f0917a05-8075-4f15-9389-d505d1022d08
49,Mushoku Tensei: Jobless Reincarnation,(2021– ),https://www.imdb.com/title/tt13293588/?ref_=kw_li_tt,"Animation, Action, Adventure",8.4,1329358,1e0aae3b-4e93-4dd9-b5ae-a39454dec8d8
50,Perfect Blue,(1997),https://www.imdb.com/title/tt0156887/?ref_=kw_li_tt,"Animation, Crime, Drama",8.0,0156887,714b24f9-f3e1-4f7f-a56f-973062a01dd5
51,Tokyo Revengers,(2021– ),https://www.imdb.com/title/tt13196080/?ref_=kw_li_tt,"Animation, Action, Drama",8.1,1319608,2f1a2261-1012-4e43-a520-3a63021fbaf4
52,Tokyo Ghoul,(2014),https://www.imdb.com/title/tt3741634/?ref_=kw_li_tt,"Animation, Action, Drama",7.8,3741634,168c86d0-fb51-470d-89a9-7fbcd06151f6
53,Demon Slayer the Movie: Mugen Train,(2020),https://www.imdb.com/title/tt11032374/?ref_=kw_li_tt,"Animation, Action, Adventure",8.2,1103237,46149268-f096-4628-ab1b-a2103310b111
54,Steins;Gate,(2011–2015),https://www.imdb.com/title/tt1910272/?ref_=kw_li_tt,"Animation, Comedy, Drama",8.8,1910272,094b6bb5-9bb3-44da-9d6c-bbaff5a5a086
55,Sword Art Online,(2012– ),https://www.imdb.com/title/tt2250192/?ref_=kw_li_tt,"Animation, Action, Adventure",7.6,2250192,82995b2c-c5d3-41f6-9897-f8606e22a241
56,My Dress-Up Darling,(2022– ),https://www.imdb.com/title/tt15765670/?ref_=kw_li_tt,"Animation, Comedy, Romance",8.1,1576567,7a5e27ca-b834-47fd-b971-7fdd3cf966a7
57,The Seven Deadly Sins,(2014–2021),https://www.imdb.com/title/tt3909224/?ref_=kw_li_tt,"Animation, Action, Adventure",7.9,3909224,c20382ed-75bf-48ed-855f-02da08af7d4a
58,Call of the Night,(2022– ),https://www.imdb.com/title/tt15975122/?ref_=kw_li_tt,"Animation, Comedy, Fantasy",7.9,1597512,caa620f4-d8be-4837-b93a-8a11bffdf0a0
59,Inu-oh,(2021),https://www.imdb.com/title/tt10540510/?ref_=kw_li_tt,"Animation, Fantasy, Music",7.3,1054051,8be06b8e-eb5a-4d10-859e-66ba5113eb5c
60,Fairy Tail,(2009–2019),https://www.imdb.com/title/tt1528406/?ref_=kw_li_tt,"Animation, Action, Adventure",7.9,1528406,e3fbfa3e-458f-4b41-8c45-d6900a9db33a
61,Summer Time Rendering,(2022– ),https://www.imdb.com/title/tt15686254/?ref_=kw_li_tt,"Animation, Drama, Fantasy",8.4,1568625,d8ddb94d-74ca-43a0-b3ee-4d849a97d47b
62,A Silent Voice,(2016),https://www.imdb.com/title/tt5323662/?ref_=kw_li_tt,"Animation, Drama",8.1,5323662,3d439a5f-3462-481d-b69f-3412af70e6c0
63,Fruits Basket,(2019–2021),https://www.imdb.com/title/tt9304350/?ref_=kw_li_tt,"Animation, Comedy, Drama",8.6,9304350,eeba38cf-6484-4415-9900-1ca0d85bd2af
64,Baki,(2018–2020),https://www.imdb.com/title/tt6357658/?ref_=kw_li_tt,"Animation, Action, Drama",6.7,6357658,4b287103-ca9d-4877-b909-d129bd1429c6
65,Yakusoku no Neverland,(2019–2021),https://www.imdb.com/title/tt8788458/?ref_=kw_li_tt,"Animation, Action, Adventure",8.3,8788458,0b78a66b-0043-4dc0-9196-e248dcc56142
66,Boku dake ga inai machi,(2016),https://www.imdb.com/title/tt5249462/?ref_=kw_li_tt,"Animation, Drama, Fantasy",8.5,5249462,f0d73327-6270-44ba-ab0b-07c293804d58
67,Ghost in the Shell,(1995),https://www.imdb.com/title/tt0113568/?ref_=kw_li_tt,"Animation, Action, Crime",7.9,0113568,795e8cfc-fc42-4cfc-b785-09d28ce0fb03
68,"Bastard!! Heavy Metal, Dark Fantasy",(2022– ),https://www.imdb.com/title/tt17736234/?ref_=kw_li_tt,"Animation, Action, Adventure",6.6,1773623,2034d0d9-59b2-402a-acaa-eef947d320e3
69,Kiki's Delivery Service,(1989),https://www.imdb.com/title/tt0097814/?ref_=kw_li_tt,"Animation, Adventure, Family",7.8,0097814,c494daf8-5f9e-46cd-82a4-7e3d71d72b4f
70,Dokutaa Sutoon,(2019– ),https://www.imdb.com/title/tt9679542/?ref_=kw_li_tt,"Animation, Action, Adventure",8.1,9679542,e160ad38-2836-4e52-96a1-f54c6f59f473
71,Re: Zero kara hajimeru isekai seikatsu,(2016– ),https://www.imdb.com/title/tt5607616/?ref_=kw_li_tt,"Animation, Adventure, Drama",8.1,5607616,4d757a55-bef1-4402-bf05-3fbaf6d51501
72,Chainsaw Man,(2022– ),https://www.imdb.com/title/tt13616990/?ref_=kw_li_tt,"Animation, Action, Adventure",,1361699,3f5ad7a7-b377-47e9-bf6d-89a602575156
73,Rent-a-Girlfriend,(2020– ),https://www.imdb.com/title/tt11448214/?ref_=kw_li_tt,"Animation, Comedy, Romance",7.2,1144821,2fba9f25-8a04-4d9d-9bb2-475df0291067
74,The Rising of the Shield Hero,(2019– ),https://www.imdb.com/title/tt9529546/?ref_=kw_li_tt,"Animation, Action, Adventure",8.0,9529546,d934b904-9763-4255-8abc-a1b7b279c119
75,Ponyo,(2008),https://www.imdb.com/title/tt0876563/?ref_=kw_li_tt,"Animation, Adventure, Comedy",7.6,0876563,b719dde5-3047-489b-ad10-6014f1eda2fc
76,Laputa: Castle in the Sky,(1986),https://www.imdb.com/title/tt0092067/?ref_=kw_li_tt,"Animation, Adventure, Family",8.0,0092067,6a19cf14-236b-4638-ae37-65209f0c4462
77,Jujutsu Kaisen 0: The Movie,(2021),https://www.imdb.com/title/tt14331144/?ref_=kw_li_tt,"Animation, Action, Fantasy",7.9,1433114,e53e8871-c438-476c-bfc3-c8f031c7903f
